,feature,importance_mean,importance_std,val_imp_0,val_imp_1
74,categories_leven,2.3252050728950202e-05,1.6831082969015476e-05,6.420967759934726e-06,4.008313369796568e-05
63,name_decoded_sim,1.7083465077338822e-05,7.868507809860592e-05,9.576854317594474e-05,-6.16016130212671e-05
55,name_decoded_nleven,1.4919013295255912e-05,4.433363190475825e-05,-2.941461860950234e-05,5.9252645200014165e-05
43,kdist,1.4810541542342737e-05,1.2252439311188912e-05,2.706298085353165e-05,2.558102231153825e-06
32,main_categories_nleven,1.0304537204186559e-05,9.364653422605507e-05,0.00010395107143024163,-8.334199702186851e-05
36,address_sim,7.871809294734966e-06,2.02090866850968e-05,2.8080895979831766e-05,-1.2337277390361834e-05
69,categories_nleven,5.875633207974573e-06,9.284531421449582e-05,9.87209474224704e-05,-8.696968100652125e-05
77,url_leven,-4.901899830489498e-09,3.2378227160456685e-05,3.2373325260626196e-05,-3.2383129060287175e-05
72,address_gesh,-8.417310592978566e-08,4.1555813681259934e-06,4.071408262196208e-06,-4.239754474055779e-06
20,phone_gesh,-5.892263372220263e-07,0.00012911709147106487,0.00012852786513384284,-0.0001297063178082869
25,kneighbors_mean,-1.2114946685848338e-06,9.426957794200774e-05,9.305808327342291e-05,-9.548107261059258e-05
0,url_lcs,-1.4377007896970717e-06,8.87051157932861e-06,7.432810789631539e-06,-1.0308212369025682e-05
57,state_nlcsk,-1.6242490215589989e-06,2.4777053867663934e-05,2.3152804846104935e-05,-2.6401302889222933e-05
5,address_nlcsk,-4.268686962516366e-06,9.574396187733702e-05,9.147527491482066e-05,-0.00010001264883985339
61,city_decoded_nlcs,-8.280815416150666e-06,5.869748843745359e-05,5.041667302130293e-05,-6.697830385360426e-05
35,closest_city_gesh,-1.180405257389383e-05,8.665003973901131e-05,7.484598716511748e-05,-9.845409231290514e-05
56,kneighbors_country,-1.281259952884417e-05,9.602493021082514e-05,8.321233068198097e-05,-0.00010883752973966931
50,url_gesh,-1.5495546172805685e-05,5.6961833955482266e-05,4.146628778267658e-05,-7.245738012828795e-05
58,closest_city_leven,-1.618718782392392e-05,7.470099955864118e-05,5.851381173471726e-05,-9.08881873825651e-05
80,city_decoded_leven,-1.642269206791891e-05,3.8196597302309065e-05,2.1773905234390156e-05,-5.4619289370227975e-05
